"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-May-2023","EQ","2,774.00","2,802.10","2,764.25","2,773.20","2,773.00","2,779.55","2,784.69","2,802.10","1,825.05","7,72,914","2,15,23,27,874.30","70,305"
"12-May-2023","EQ","2,760.80","2,784.50","2,756.85","2,757.85","2,771.95","2,773.20","2,773.48","2,791.00","1,825.05","7,05,516","1,95,67,33,168.60","57,873"
"11-May-2023","EQ","2,758.00","2,765.00","2,744.05","2,745.45","2,760.80","2,757.85","2,752.30","2,791.00","1,825.05","6,21,067","1,70,93,60,738.65","49,812"
"10-May-2023","EQ","2,760.00","2,767.70","2,736.20","2,748.40","2,746.00","2,745.45","2,745.98","2,791.00","1,825.05","5,22,149","1,43,38,10,694.75","40,547"
"09-May-2023","EQ","2,753.30","2,790.00","2,738.45","2,751.25","2,746.00","2,748.40","2,761.70","2,791.00","1,825.05","8,93,686","2,46,80,96,877.35","76,043"
"08-May-2023","EQ","2,732.95","2,770.00","2,732.90","2,732.90","2,753.25","2,751.25","2,755.99","2,791.00","1,825.05","8,48,638","2,33,88,41,940.00","65,395"
"05-May-2023","EQ","2,670.60","2,766.00","2,666.30","2,670.40","2,732.00","2,732.90","2,728.51","2,791.00","1,825.05","21,90,777","5,97,75,59,105.85","94,680"
"04-May-2023","EQ","2,679.70","2,694.25","2,656.55","2,654.05","2,666.20","2,670.40","2,673.85","2,791.00","1,825.05","19,36,641","5,17,82,93,525.10","87,046"
"03-May-2023","EQ","2,675.00","2,679.50","2,643.10","2,663.85","2,651.00","2,654.05","2,659.93","2,791.00","1,825.05","8,08,211","2,14,97,87,905.75","46,595"
"02-May-2023","EQ","2,657.00","2,674.00","2,633.40","2,641.85","2,664.95","2,663.85","2,654.16","2,791.00","1,825.05","7,26,439","1,92,80,84,581.20","56,556"
"28-Apr-2023","EQ","2,672.45","2,679.30","2,619.50","2,663.45","2,637.00","2,641.85","2,642.28","2,791.00","1,825.05","15,67,472","4,14,16,92,191.60","76,323"
"27-Apr-2023","EQ","2,641.00","2,674.00","2,631.50","2,641.00","2,660.40","2,663.45","2,649.33","2,791.00","1,825.05","6,20,037","1,64,26,81,810.80","40,889"
"26-Apr-2023","EQ","2,633.00","2,647.65","2,625.65","2,633.20","2,635.90","2,641.00","2,639.75","2,791.00","1,825.05","6,31,279","1,66,64,21,002.05","54,000"
"25-Apr-2023","EQ","2,634.85","2,637.00","2,614.95","2,629.55","2,631.00","2,633.20","2,626.28","2,791.00","1,825.05","6,30,987","1,65,71,47,814.70","48,376"
"24-Apr-2023","EQ","2,571.10","2,636.40","2,570.00","2,568.30","2,625.00","2,629.55","2,608.77","2,791.00","1,825.05","10,26,391","2,67,76,22,023.90","54,153"
"21-Apr-2023","EQ","2,593.60","2,594.55","2,559.25","2,579.25","2,573.00","2,568.30","2,575.71","2,791.00","1,825.05","4,09,932","1,05,58,65,030.05","34,242"
"20-Apr-2023","EQ","2,577.65","2,619.00","2,570.50","2,569.30","2,575.35","2,579.25","2,597.42","2,791.00","1,825.05","9,95,472","2,58,56,54,717.05","49,552"
"19-Apr-2023","EQ","2,580.05","2,595.95","2,562.00","2,577.70","2,566.05","2,569.30","2,573.22","2,791.00","1,825.05","6,87,292","1,76,85,55,801.85","46,026"
"18-Apr-2023","EQ","2,603.05","2,607.65","2,560.10","2,605.60","2,575.00","2,577.70","2,576.83","2,791.00","1,825.05","6,74,756","1,73,87,30,711.00","52,711"
"17-Apr-2023","EQ","2,600.00","2,612.25","2,582.30","2,585.65","2,607.05","2,605.60","2,601.00","2,791.00","1,825.05","10,44,487","2,71,67,11,379.35","60,674"
"13-Apr-2023","EQ","2,588.00","2,599.95","2,577.30","2,587.90","2,580.00","2,585.65","2,589.72","2,791.00","1,825.05","4,81,459","1,24,68,44,448.30","42,487"
"12-Apr-2023","EQ","2,580.05","2,593.45","2,564.15","2,580.05","2,588.00","2,587.90","2,578.23","2,791.00","1,825.05","5,53,807","1,42,78,44,311.65","43,653"
"11-Apr-2023","EQ","2,583.70","2,603.50","2,576.00","2,583.70","2,577.10","2,580.05","2,591.03","2,791.00","1,825.05","8,20,568","2,12,61,16,627.85","70,941"
"10-Apr-2023","EQ","2,568.00","2,602.00","2,561.05","2,548.45","2,578.00","2,583.70","2,582.50","2,791.00","1,825.05","14,97,452","3,86,71,65,551.85","72,808"
"06-Apr-2023","EQ","2,583.00","2,584.00","2,545.00","2,572.70","2,548.00","2,548.45","2,557.23","2,791.00","1,825.05","11,92,271","3,04,89,05,695.60","62,956"
"05-Apr-2023","EQ","2,560.00","2,581.50","2,550.10","2,537.40","2,572.00","2,572.70","2,571.05","2,791.00","1,825.05","14,38,377","3,69,81,38,205.25","60,471"
"03-Apr-2023","EQ","2,525.90","2,544.65","2,513.30","2,514.90","2,536.00","2,537.40","2,535.34","2,791.00","1,825.05","7,01,713","1,77,90,78,932.45","40,354"
"31-Mar-2023","EQ","2,526.95","2,536.75","2,500.00","2,515.05","2,514.90","2,514.90","2,514.18","2,791.00","1,825.05","8,48,456","2,13,31,66,995.50","78,428"
"29-Mar-2023","EQ","2,500.30","2,525.00","2,494.00","2,500.30","2,521.55","2,515.05","2,510.12","2,791.00","1,825.05","7,10,603","1,78,36,98,996.10","49,186"
